,Date,Open,High,Low,Close,Adj Close,Volume,Del,DelPrec,Label_4part,Label_3part,TrumpTweets
0,6/9/2008,12210.12988,12331.86035,12195.32031,12280.32031,12280.32031,266350000,70.19043,0.574854082,2,2,
1,6/10/2008,12277.70996,12369.23047,12206.95996,12289.75977,12289.75977,240760000,12.049805,0.09814375,2,1,
2,6/11/2008,12286.33984,12286.66992,12079.12988,12083.76953,12083.76953,247120000,-202.570313,-1.648744179,0,0,
3,6/12/2008,12089.62988,12269.24023,12076.92969,12141.58008,12141.58008,260960000,51.950195,0.42970873,2,2,
4,6/13/2008,12144.58984,12310.28027,12144.58984,12307.34961,12307.34961,247980000,162.759765,1.3401833,3,2,
5,6/16/2008,12306.86035,12319.71973,12212.25,12269.08008,12269.08008,222140000,-37.780274,-0.306985477,1,0,
6,6/17/2008,12269.65039,12322.82031,12150.29004,12160.29981,12160.29981,174690000,-109.350586,-0.891228214,1,0,
7,6/18/2008,12158.67969,12158.67969,11993.63965,12029.05957,12029.05957,212900000,-129.620118,-1.06607067,0,0,
8,6/19/2008,12029.05957,12114.79004,11978.33008,12063.08984,12063.08984,230920000,34.030274,0.282900536,2,2,
9,6/20/2008,12062.19043,12062.19043,11818.83008,11842.69043,11842.69043,429700000,-219.5,-1.819735821,0,0,
10,6/23/2008,11843.83008,11986.95996,11731.05957,11842.36035,11842.36035,182870000,-1.469726,-0.012409212,1,1,
11,6/24/2008,11842.36035,11904.32031,11725.51953,11807.42969,11807.42969,225270000,-34.930664,-0.294963698,1,0,
12,6/25/2008,11805.30957,11924.19043,11789.36035,11811.83008,11811.83008,236160000,6.520508,0.055233689,2,1,
13,6/26/2008,11808.57031,11808.73047,11453.41992,11453.41992,11453.41992,302550000,-355.150391,-3.007564689,0,0,
14,6/27/2008,11452.84961,11485.25,11297.99023,11346.50977,11346.50977,338250000,-106.339843,-0.928501173,1,0,
15,6/30/2008,11345.7002,11437.29981,11287.55957,11350.00977,11350.00977,282210000,4.309571,0.037984178,2,1,
16,7/1/2008,11344.63965,11407.90039,11183.42969,11382.25977,11382.25977,299590000,37.620118,0.331611397,2,2,
17,7/2/2008,11382.33984,11434.12012,11214.37012,11215.50977,11215.50977,230690000,-166.830078,-1.465692294,0,0,
18,7/3/2008,11216,11337.48047,11157.20996,11288.54004,11288.54004,176910000,72.540039,0.646754984,2,2,
19,7/7/2008,11289.19043,11399.11035,11120.74023,11231.95996,11231.95996,248240000,-57.230469,-0.506949275,1,0,
20,7/8/2008,11225.03027,11391.12988,11174.87988,11384.20996,11384.20996,271500000,159.179688,1.418078029,3,2,
21,7/9/2008,11381.92969,11418.24023,11141.99023,11147.44043,11147.44043,227100000,-234.489258,-2.060188952,0,0,
22,7/10/2008,11148.00977,11270.29981,11086.9502,11229.01953,11229.01953,248010000,81.009765,0.726674686,2,2,
23,7/11/2008,11226.16992,11241.07031,10977.67969,11100.54004,11100.54004,275010000,-125.629883,-1.11908054,0,0,
24,7/14/2008,11103.63965,11239.04004,11003.65039,11055.19043,11055.19043,205360000,-48.449218,-0.436336368,1,0,
25,7/15/2008,11050.79981,11123.66992,10827.70996,10962.54004,10962.54004,331390000,-88.259766,-0.798673106,1,0,
26,7/16/2008,10961.88965,11244.16992,10918.33008,11239.28027,11239.28027,307590000,277.390625,2.530500068,3,2,
27,7/17/2008,11238.38965,11446.66016,11209.55957,11446.66016,11446.66016,335260000,208.270508,1.853205971,3,2,
28,7/18/2008,11436.55957,11510.82031,11381.92969,11496.57031,11496.57031,378610000,60.010743,0.524727237,2,2,
29,7/21/2008,11495.01953,11559.66992,11423.94043,11467.33984,11467.33984,212850000,-27.679687,-0.240797216,1,1,
30,7/22/2008,11457.90039,11616.66016,11387.38965,11602.5,11602.5,273690000,144.599609,1.262007908,3,2,
31,7/23/2008,11603.38965,11698.16992,11558.29004,11632.37988,11632.37988,264520000,28.990235,0.249842812,2,1,
32,7/24/2008,11630.33984,11634.49023,11345.37012,11349.28027,11349.28027,241140000,-281.059571,-2.416606692,0,0,
33,7/25/2008,11341.13965,11443.80957,11325.09961,11370.69043,11370.69043,190920000,29.550782,0.26056272,2,2,
34,7/28/2008,11369.46973,11369.54981,11125.12988,11131.08008,11131.08008,197550000,-238.389649,-2.096752573,0,0,
35,7/29/2008,11133.44043,11398.37988,11128.05957,11397.55957,11397.55957,206930000,264.11914,2.372304784,3,2,
36,7/30/2008,11397.55957,11586.62012,11397.55957,11583.69043,11583.69043,208520000,186.13086,1.633076439,3,2,
37,7/31/2008,11577.99023,11578.88965,11363.69043,11378.01953,11378.01953,220200000,-199.970703,-1.727162478,0,0,
38,8/1/2008,11379.88965,11425.73047,11267.04981,11326.32031,11326.32031,189700000,-53.569335,-0.470736858,1,0,
39,8/4/2008,11326.32031,11382.16992,11221.53027,11284.15039,11284.15039,170250000,-42.169922,-0.372317936,1,0,
40,8/5/2008,11286.01953,11615.92969,11286.01953,11615.76953,11615.76953,234990000,329.75,2.921756418,3,2,
41,8/6/2008,11603.63965,11685.45996,11521.32031,11656.07031,11656.07031,180060000,52.430665,0.451846719,2,2,
42,8/7/2008,11655.41992,11655.58008,11416.7002,11431.42969,11431.42969,229610000,-223.990234,-1.921768889,0,0,
