,Date,Open,High,Low,Close,Adj Close,Volume,Del,DelPrec,Label_4part,Label_3part
0,2008-06-09,12210.129883,12331.860352,12195.320313,12280.320313,12280.320313,266350000,70.19043000000056,0.5748540815911037,2.0,2.0
1,2008-06-10,12277.709961,12369.230469,12206.959961,12289.759766,12289.759766,240760000,12.049804999998742,0.09814375024556536,2.0,1.0
2,2008-06-11,12286.339844,12286.669922,12079.129883,12083.769531,12083.769531,247120000,-202.57031300000017,-1.6487441790805164,0.0,0.0
3,2008-06-12,12089.629883,12269.240234,12076.929688,12141.580078,12141.580078,260960000,51.95019500000126,0.4297087297358188,2.0,2.0
4,2008-06-13,12144.589844,12310.280273,12144.589844,12307.349609,12307.349609,247980000,162.7597650000007,1.3401833004711288,3.0,2.0
5,2008-06-16,12306.860352,12319.719727,12212.25,12269.080078,12269.080078,222140000,-37.780273999998826,-0.3069854773631125,1.0,0.0
6,2008-06-17,12269.650391,12322.820313,12150.290039,12160.299805,12160.299805,174690000,-109.35058599999866,-0.8912282136433911,1.0,0.0
7,2008-06-18,12158.679688,12158.679688,11993.639648,12029.05957,12029.05957,212900000,-129.62011800000073,-1.066070669892959,0.0,0.0
8,2008-06-19,12029.05957,12114.790039,11978.330078,12063.089844,12063.089844,230920000,34.030274000000645,0.2829005360059136,2.0,2.0
9,2008-06-20,12062.19043,12062.19043,11818.830078,11842.69043,11842.69043,429700000,-219.5,-1.8197358205693657,0.0,0.0
10,2008-06-23,11843.830078,11986.959961,11731.05957,11842.360352,11842.360352,182870000,-1.4697260000011738,-0.012409212141021852,1.0,1.0
11,2008-06-24,11842.360352,11904.320313,11725.519531,11807.429688,11807.429688,225270000,-34.930663999999524,-0.2949636977910426,1.0,0.0
12,2008-06-25,11805.30957,11924.19043,11789.360352,11811.830078,11811.830078,236160000,6.520508000001428,0.05523368922549506,2.0,1.0
13,2008-06-26,11808.570313,11808.730469,11453.419922,11453.419922,11453.419922,302550000,-355.15039100000104,-3.0075646889193486,0.0,0.0
14,2008-06-27,11452.849609,11485.25,11297.990234,11346.509766,11346.509766,338250000,-106.33984300000157,-0.9285011733362538,1.0,0.0
15,2008-06-30,11345.700195,11437.299805,11287.55957,11350.009766,11350.009766,282210000,4.309570999999778,0.03798417837533718,2.0,1.0
16,2008-07-01,11344.639648,11407.900391,11183.429688,11382.259766,11382.259766,299590000,37.62011799999891,0.3316113968118074,2.0,2.0
17,2008-07-02,11382.339844,11434.120117,11214.370117,11215.509766,11215.509766,230690000,-166.83007800000087,-1.465692294260063,0.0,0.0
